year,film_festival,title,director,field,award,genre,plot,rating,runtime,prodYear,actors,img_link,stills,score
2021,서울영등포국제초단편영화제,감독님 연출하지 마세요,이대영,임선우 배우 특별전,,코메디,민경은 단편영화 주인공을 맡아 촬영에 임한다. 시간이 지날수록 현장이 꼬이고 감독과 미세한 균열이 일기 시작한다.,,14,2017,"임선우,문혜인,이승원",https://ssl.pstatic.net/imgmovie/mdi/mit110/1650/165071_P01_151730.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/49/56/tn_DSKT299386.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/56/tn_DSKT299387.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/56/tn_DSKT299388.jpg",0
2021,서울영등포국제초단편영화제,어느 날,이수형,국내경쟁,,드라마,"어느 여름날 아침, 민수는 엄마의 목소리에 잠에서 깬다.",,11,2020,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1986/198656_P01_182202.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/58/43/tn_DST736731.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/43/tn_DST736732.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/43/tn_DST736733.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/43/tn_DST736734.jpg",0
2021,서울영등포국제초단편영화제,치석,염지희,임선우 배우 특별전,,"드라마,스릴러",치과에 찾은 희수는 치위생사인 미선에게 스케일링 치료를 받기 원한다. 하지만 그녀에게는 미선을 찾아온 다른 이유가 있는 듯하다.   [제16회 미쟝센 단편영화제],,11,2017,"임선우,연예지,김대기",https://ssl.pstatic.net/imgmovie/mdi/mit110/1650/165098_P01_142722.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/50/72/tn_DSKT307374.jpg,0
2021,서울영등포국제초단편영화제,면담,박서영,국내경쟁,,"드라마,하이틴","신임 담임교사 은선은 자신의 반 학생 정화와 그 무리들이 미나를 괴롭힌 사실을 영상을 통해 알게 되고, 면담을 통해 내부적으로 이를 해결해보고자 한다.",,11,2021,"손예원,홍하나임,김경민",https://ssl.pstatic.net/imgmovie/mdi/mit110/2056/205661_P01_170554.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/57/48/tn_DST727136.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/48/tn_DST727137.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/48/tn_DST727138.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/48/tn_DST727139.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/48/tn_DST727140.jpg",0
2021,서울영등포국제초단편영화제,지금 당장 영화관을 가야해!,김나경,국내경쟁,,기타,,,,,,,,0
2021,서울영등포국제초단편영화제,수강신청,이미지,문화다양성 특별전,,드라마,"컴퓨터를 못해 늘 불편을 겪는 60대 노인 경희는 주민센터에서 진행하는 컴퓨터수업을 듣고 싶다. 하지만, 수강신청은 인터넷으로만 받는다고 하는데…",,15,2020,"현정애,김현정",https://ssl.pstatic.net/imgmovie/mdi/mit110/1971/197182_P01_150649.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/57/45/tn_DST726793.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/45/tn_DST726794.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/45/tn_DST726795.jpg",0
2021,서울영등포국제초단편영화제,토마토의 정원,박형남,국내경쟁,,드라마,‘소원의 풀’이라고 불리는 토마토 꽃 앞에서 소원을 비는 학생들. 토마토는 비록 열리지 못하지만 그럼에도 자라나는 아이들.,,15,2020,,https://ssl.pstatic.net/imgmovie/mdi/mit110/2056/205659_P01_172408.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/57/40/tn_DST726318.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/41/tn_DST726386.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/41/tn_DST726387.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/41/tn_DST726388.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/41/tn_DST726389.jpg",0
2021,서울영등포국제초단편영화제,링링,윤다영,블러디 나잇 비경쟁,,"가족,드라마","진아는 아빠의 수첩 속 링링이라는 이름을 발견하고, 아빠가 링링과 바람을 피운다고 의심한다. 평범하게 느껴졌던 아빠의 행동들에 어딘가 빈틈이 보이기 시작한다. 진아는 가족의 해체를 막고 싶지만 태풍이 다가온다.",15세관람가,24,2019,"김주아,김선빈,김선경",https://ssl.pstatic.net/imgmovie/mdi/mit110/1851/185114_P04_152939.png,"http://file.koreafilm.or.kr/thm/01/copy/00/51/19/tn_DST651983.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/51/19/tn_DST651984.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/51/19/tn_DST651985.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/51/19/tn_DST651986.jpg",0
2021,서울영등포국제초단편영화제,수라(修羅),정해지,국내경쟁,초단편 우수상,기타,,,,,,,,10
2021,서울영등포국제초단편영화제,"가스, 라이트",원유,국내경쟁,심사위원 특별상,드라마,"한밤중 사장에게 청탁을 하러 찾아온 남자는 사장을 기다리는 카페에서 가스 새는 냄새를 맡고 카페 사장에게 말하지만, 사장과 친분이 있다는 카페 사장은 남자를 은근히 바보로 만들며 그의 말을 들어주지 않는다.",,15,2020,"김희상,정시률,정승철",https://ssl.pstatic.net/imgmovie/mdi/mit110/2083/208328_P01_152722.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/58/79/tn_DST740446.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/79/tn_DST740447.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/79/tn_DST740448.jpg",10
2021,청주국제단편영화제,사원증,윤혜성,사회드라마,,드라마,"동구는 친구이자 같은 회사 동료인 지철의 죽음을 슬퍼할 새도 없이, 상사의 강요에 의해 지철의 집을 찾아가 그의 사원증을 찾아와야 한다. 지철을 죽음으로 몰고 갔을지도 모르는 회사는 끝까지 동구를 극한의 상황으로 내몰아간다. 이 작품은 직장에서 개인이 겪는 존재론적 위기를 다루고 있으며, 자본주의 체제하에서 사회 구성원 상호 간의 이해와 연대가 사라지고 있는 현재의 한국 사회를 차분히 관조하고 있다. 특히 조직의 구성원이라는 사회적 신분과 개인적 우정 사이에서 갈들을 겪으며 고뇌하는 사회 초년생의 모습을 섬세하게 포착한다. 이를 통해 집단 내에서 연대의식이 붕괴되고 개인의 가치가 상실되고 있는 현대 사회의 비정하고 씁쓸한 단면을 재현한다.",,19,2020,"장유상,오민애,권다함",https://ssl.pstatic.net/imgmovie/mdi/mit110/1957/195769_P01_170922.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/55/51/tn_DST705434.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/51/tn_DST705435.jpg",0
2021,청주국제단편영화제,웅비와 인간 아닌 친구들,김다민,코미디/멜로/공포,,"SF,판타지,공포","9살 웅비는 자신만의 비밀기지에서 온 몸이 털로 뒤덮인 괴생명체를 만난다. 말이 통하진 않아도 금새 친해진 둘, 웅비는 부모님께 혼날까 봐 걱정이지만, 인간 아닌 친구를 집까지 데려간다. 천진난만한 웅비와 인간 아닌 친구의 모습에 미소가 저절로 지어지지만, 서로 말이 통하게 되는 순간 밝혀지는 진실이 놀랍다. 그나저나 인류의 미래로 부상한 비둘기는.... 연구는 계속되어야 한다. (제24회 부천국제판타스틱영화제 백재호)",,18,2020,"김시하,김유남,윤현길",https://ssl.pstatic.net/imgmovie/mdi/mit110/1948/194881_P01_153902.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/56/18/tn_DST713832.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/56/18/tn_DST713833.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/56/18/tn_DST713834.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/56/18/tn_DST713835.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/56/18/tn_DST713836.jpg",0
2021,청주국제단편영화제,면접,김용호,네트워크 시네마,,"드라마,스릴러","난생처음으로 서류 전형에 합격한 미숙은 회사에 면접을 보러 왔다. 하지만 사무실은 텅 비어 있고, 미숙은 뭔가 잘못되었음을 깨닫는다. 겁에 질린 미숙이 사무실을 뛰쳐나가려는 순간, 구석에서 전화 벨 소리가 울린다.",,6,2019,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1949/194926_P01_151238.png,http://file.koreafilm.or.kr/thm/01/copy/00/59/08/tn_DST743401.jpg,0
2021,청주국제단편영화제,우주의 끝,한병아,비경쟁,,드라마,"나는 시한부 진단을 받았다. 친구인 의사는 내게 묻는다. “애들한테 뭐하고 할 거야?” 식상한 말밖에 생각해 내지 못하던 중에 선명하게 떠오른 한마디는 “걸어라, 어차피 세상에서 배울 게 더 많으니까.”  우주의 끝 은 시한부 선고를 받은 여성의 귀갓길을 따라간다. 자신의 말을 실천하듯 주인공은 걸어서 집으로 돌아가는데, 길에서 마주친 사람들은 삶에 대한 여러 대답들을 제시한다. 단순한 구성이지만 행간에 품고 있는 메시지는 넉넉하다. ‘죽음은 무엇인가’는 곧 ‘삶은 무엇인가’로 이어지고, 결국엔 ‘지금 어떻게 살 것인지’에 대한 다양한 모습을 보여주는 것을 통해 넌지시 말을 건넨다. 파스텔 톤의 포근하고 소박한 그림체는 귀갓길에 일어나는 소소한 사건들, 그리고 시답잖은 대화들과 맞물려 흐뭇한 웃음을 자아낸다. 자칫 무겁거나 추상적으로 흘러갈 수 있는 이야기는 곳곳에 포진한 세련된 유머 덕분에 일상의 공감으로 퍼져 나간다. 작화, 스토리텔링, 메시지, 깨알 같은 유머의 호흡까지 넘치지도 모자라지도 않는 밸런스가 탁월하다. [송경원]",전체관람가,10,2020,"김주리,최자인,김영기",https://ssl.pstatic.net/imgmovie/mdi/mit110/1940/194062_P01_170638.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692040.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692041.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692042.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692043.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692044.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/35/tn_DST692045.jpg",0
2021,청주국제단편영화제,급식,한혜인,네트워크 시네마,,드라마,"식이장애로 학교를 휴직한 가연, 생활고로 인해 돌봄교실 강사로 일하게 되는데 지속적으로 잔반 검사할 것을 강요 받는다. 자신은 먹지 못하는 상태에서 잔반을 다 먹도록 강요해야하만 하는 역설적인 상황에서 가연은 갈등하게 된다.",,18,2019,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1901/190157_P01_163946.JPG,"http://file.koreafilm.or.kr/thm/01/copy/00/54/09/tn_DST689273.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/43/tn_DST692924.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/54/43/tn_DST692925.jpg",0
2021,청주국제단편영화제,달팽이,김태양,코미디/멜로/공포,,"드라마,멜로/로맨스,로드무비","약속장소를 찾아가던 남자가 거리에서 옛 친구와 마주친다. 우연한 만남, 사소한 대화, 미묘한 공기. 그들은 한동안 종로거리를 함께 걷는다. 그리고 각자의 길로 발길을 돌리고, 거리엔 한차례 소나기가 쏟아진다. 비가 그치면 또 다른 만남이 기다리고 있다.",전체관람가,20,2020,"하성국,이명하,정수지",https://ssl.pstatic.net/imgmovie/mdi/mit110/1986/198620_P01_174030.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/55/60/tn_DST706494.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/60/tn_DST706495.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/61/tn_DST706496.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/61/tn_DST706497.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/61/tn_DST706498.jpg",0
2021,청주국제단편영화제,피아,공병선,사회드라마,,기타,,,,,,,,0
2021,청주국제단편영화제,행운을 빌어,전영찬,애니/다큐,,기타,,,,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/2081/208175_P01_164305.jpg,,0
2021,청주국제단편영화제,별도 좋은데,서은아,사회드라마,,드라마,"늦은 밤, 폐 주유소에서 한 남자가 자살을 준비하고 있다. 똑똑, 누군가 창문을 두드린다. 담배 좀 피게 라이터를 빌려달라는 낯선 남자. 자살하려던 남자는 귀찮은 듯 라이터를 줘버리고 차에 타 소주를 마신다. 똑똑, 또 다시 낯선 남자가 창문을 두드리는데…",,15,2020,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1986/198659_P01_180354.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/56/35/tn_DST715682.jpg,0
